REPORT DATE,Regione,Ricoverati con sintomi,Terapia intensiva,Totale attualmente positivi,DECEDUTI,Isolamento domiciliare,CASI TOTALI - A,Totale tamponi effettuati,SCHEMA VERSION
2020-06-11,Emilia Romagna,216,18,2000,4192,1766,27995,385220,v5
2020-06-11,Veneto,52,0,922,1964,870,19199,780445,v5
2020-06-11,Toscana,42,15,521,1079,464,10158,283638,v5
2020-06-11,Liguria,107,3,250,1514,140,9864,122654,v5
2020-06-11,Lazio,320,46,2517,776,2151,7889,287888,v5
2020-06-11,Campania,74,2,610,430,534,4837,226823,v5
2020-06-11,Molise,1,1,116,23,114,439,17710,v5
2020-06-11,Friuli VG,22,0,112,342,90,3287,153763,v5
2020-06-11,Abruzzo,81,5,539,453,453,3267,87566,v5
2020-06-11,Bolzano,8,2,99,292,89,2606,74106,v5
2020-06-11,Umbria,11,2,26,76,13,1436,79234,v5
2020-06-11,Sardegna,10,1,43,131,32,1362,66133,v5
2020-06-11,Valle d'Aosta,6,0,6,144,0,1191,16268,v5
2020-06-11,Calabria,16,1,52,97,35,1161,79025,v5
2020-06-11,Lombardia,2488,97,17340,16374,14755,90932,858994,v5
2020-06-11,Trento,5,1,71,464,65,4441,98969,v5
2020-06-11,Sicilia,37,5,849,279,807,3455,174429,v5
2020-06-12,Veneto,49,0,849,1967,800,19199,795260,v5
2020-06-12,Liguria,103,3,249,1516,143,9871,124320,v5
2020-06-12,Toscana,36,14,510,1080,460,10165,286693,v5
2020-06-12,Lazio,293,47,2222,781,1882,7916,291869,v5
2020-06-12,Piemonte,527,30,2897,3996,2340,30989,361164,v5
2020-06-12,Puglia,61,2,439,532,376,4515,143844,v5
2020-06-12,Basilicata,0,1,12,27,11,401,34377,v5
2020-06-12,Emilia Romagna,200,17,1817,4196,1600,28028,393539,v5
2020-06-12,Marche,22,0,750,993,728,6752,119045,v5
2020-06-12,Bolzano,8,2,101,291,91,2608,74859,v5
2020-06-12,Trento,5,1,68,464,62,4443,100400,v5
2020-06-12,Lombardia,2357,97,17024,16405,14570,91204,873831,v5
2020-06-12,Calabria,16,1,47,97,30,1161,80063,v5
2020-06-12,Valle d'Aosta,6,0,9,144,3,1191,16374,v5
2020-06-12,Sardegna,10,1,42,131,31,1363,67069,v5
2020-06-12,Campania,61,2,346,430,283,4608,230551,v5
2020-06-12,Abruzzo,76,4,528,453,448,3271,88739,v5
2020-06-12,Friuli VG,18,0,108,342,90,3290,157909,v5
2020-06-12,Sicilia,34,3,841,279,804,3455,176233,v5
2020-06-12,Molise,1,1,114,23,112,439,18112,v5
2020-06-12,Umbria,10,1,24,76,13,1436,80190,v5
2020-06-13,Lazio,303,45,1357,806,1009,7941,294654,v5
2020-06-13,Basilicata,0,1,11,27,10,401,34681,v5
2020-06-13,Puglia,60,2,422,532,360,4515,145905,v5
2020-06-13,Piemonte,510,27,2820,4006,2283,31029,365223,v5
2020-06-13,Emilia Romagna,192,15,1727,4199,1520,28056,400902,v5
2020-06-13,Veneto,41,1,778,1977,736,19212,798290,v5
2020-06-13,Toscana,33,16,502,1082,453,10172,289524,v5
2020-06-13,Liguria,91,3,244,1518,150,9875,125871,v5
2020-06-13,Marche,22,0,677,993,655,6754,120308,v5
2020-06-13,Campania,67,2,337,430,268,4608,234666,v5
2020-06-13,Trento,5,1,70,464,64,4446,102138,v5
2020-06-13,Lombardia,2252,96,16785,16428,14437,91414,883305,v5
