Regione,Ricoverati con sintomi,Terapia intensiva,Isolamento domiciliare,Totale attualmente positivi,DIMESSI/GUARITI,DECEDUTI,CASI TOTALI - A,INCREMENTO CASI TOTALI (rispetto al giorno precedente),Casi identificatidal sospettodiagnostico,Casi identificatida attività discreening,CASI TOTALI - B,Totale casi testati,Totale tamponi effettuati,INCREMENTOTAMPONI,REPORT DATE
Molise,8,0,144,152,524,25,701,11,659,42,701,45640,47170,629,2020-10-09
Lombardia,361,41,10004,10406,82484,16979,109869,683,97091,12778,109869,1408098,2254865,22069,2020-10-08
Piemonte,311,16,3652,3979,29043,4172,37194,336,24168,13026,37194,459191,771156,7468,2020-10-08
Emilia-Romagna,232,13,5179,5424,26722,4492,36638,184,31698,4940,36638,704510,1257805,11695,2020-10-08
Veneto,213,19,4851,5083,22620,2206,29909,491,21837,8072,29909,790836,2023146,16958,2020-10-08
Lazio,821,55,7976,8852,8936,960,18748,359,8845,9903,18748,805125,973956,13333,2020-10-08
Toscana,132,27,4590,4749,10693,1170,16612,339,12785,3827,16612,541159,806096,9050,2020-10-08
Campania,548,55,8347,8950,7044,470,16464,757,14672,1792,16464,430106,654892,9925,2020-10-08
Liguria,195,28,1932,2155,10705,1614,14474,152,10066,4408,14474,179543,336672,3857,2020-10-08
Puglia,278,23,3033,3334,4929,604,8867,248,2555,6312,8867,312343,440278,4754,2020-10-08
Sicilia,376,33,3287,3696,4454,329,8479,259,5441,3038,8479,383416,529533,7374,2020-10-08
Marche,34,5,1068,1107,6251,992,8350,66,8350,0,8350,153648,261317,2062,2020-10-08
PA Trento,18,0,672,690,5259,406,6355,59,3820,2535,6355,103685,244108,2508,2020-10-08
Friuli Venezia Giulia,23,6,991,1020,3769,355,5144,110,4732,412,5144,194340,439370,4953,2020-10-08
Abruzzo,90,7,1055,1152,3145,486,4783,68,4061,722,4783,137364,215967,2332,2020-10-08
Sardegna,129,19,2322,2470,1977,161,4608,127,2126,2482,4608,174362,206533,2103,2020-10-08
PA Bolzano,30,1,695,726,2785,292,3803,69,3803,0,3803,97393,187835,1897,2020-10-08
Umbria,50,8,805,863,1956,87,2906,84,1770,1136,2906,131965,221146,2380,2020-10-08
Calabria,39,1,563,603,1441,102,2146,21,1159,987,2146,214128,216234,1905,2020-10-08
Valle d'Aosta,4,1,117,122,1116,146,1384,18,1244,140,1384,21086,30644,249,2020-10-08
Basilicata,35,0,394,429,511,35,975,22,433,542,975,78439,79406,737,2020-10-08
Molise,6,0,136,142,523,25,690,6,648,42,690,45014,46541,489,2020-10-08
Lombardia,339,40,9498,9877,82331,16978,109186,520,96683,12503,109186,1395667,2232796,21569,2020-10-07
Piemonte,297,15,3412,3724,28962,4172,36858,287,24075,12783,36858,456021,763688,7523,2020-10-07
Emilia-Romagna,223,14,5058,5295,26668,4491,36454,193,31585,4869,36454,698835,1246110,14881,2020-10-07
Veneto,214,16,4524,4754,22464,2200,29418,375,21700,7718,29418,784296,2006188,15164,2020-10-07
Lazio,808,48,7724,8580,8855,954,18389,357,8713,9676,18389,795451,960623,11908,2020-10-07
Toscana,123,28,4279,4430,10673,1170,16273,300,12593,3680,16273,535058,797046,10014,2020-10-07
Campania,520,52,7771,8343,6895,469,15707,544,13925,1782,15707,422215,644967,7504,2020-10-07
Liguria,196,24,1812,2032,10676,1614,14322,176,10046,4276,14322,177511,332815,3726,2020-10-07
Puglia,251,23,2859,3133,4883,603,8619,196,2502,6117,8619,309260,435524,4822,2020-10-07
Marche,31,5,1016,1052,6240,992,8284,84,8284,0,8284,152490,259255,2517,2020-10-07
Sicilia,375,30,3144,3549,4345,326,8220,213,5299,2921,8220,378610,522159,6579,2020-10-07
PA Trento,18,0,631,649,5241,406,6296,32,3807,2489,6296,102992,241600,2001,2020-10-07
Friuli Venezia Giulia,26,6,913,945,3734,355,5034,72,4632,402,5034,192089,434417,5174,2020-10-07
Abruzzo,88,6,1004,1098,3132,485,4715,61,4002,713,4715,136225,213635,2507,2020-10-07
Sardegna,128,19,2243,2390,1931,160,4481,101,2101,2380,4481,172673,204430,2056,2020-10-07
PA Bolzano,21,1,645,667,2775,292,3734,55,3734,0,3734,96289,185938,1642,2020-10-07
Umbria,44,8,756,808,1928,86,2822,65,1742,1080,2822,135552,218766,2278,2020-10-07
Calabria,37,1,553,591,1432,102,2125,16,1159,966,2125,212223,214329,2001,2020-10-07
Valle d'Aosta,4,1,102,107,1113,146,1366,15,1227,139,1366,20931,30395,264,2020-10-07
Basilicata,35,0,379,414,504,35,953,15,433,520,953,77839,78669,760,2020-10-07
Molise,4,0,134,138,521,25,684,1,642,42,684,44539,46052,424,2020-10-07
Lombardia,320,40,9149,9509,82184,16973,108666,350,96365,12301,108666,1380719,2211227,16020,2020-10-06
Piemonte,293,15,3274,3582,28819,4170,36571,259,23999,12572,36571,452847,756165,8104,2020-10-06
Emilia-Romagna,212,13,4929,5154,26617,4490,36261,172,31487,4774,36261,691551,1231229,11386,2020-10-06
Veneto,208,15,4303,4526,22319,2198,29043,189,21623,7420,29043,777300,1991024,10093,2020-10-06
Lazio,774,44,7472,8290,8794,948,18032,275,8611,9421,18032,786768,948715,10855,2020-10-06
Toscana,117,28,4054,4199,10606,1168,15973,209,12422,3551,15973,528501,787032,6965,2020-10-06
Campania,488,47,7442,7977,6718,468,15163,395,13406,1757,15163,416074,637463,5064,2020-10-06
Liguria,178,23,1724,1925,10609,1612,14146,170,9972,4174,14146,175730,329089,3325,2020-10-06
Puglia,244,21,2726,2991,4829,603,8423,106,2470,5953,8423,306067,430702,4416,2020-10-06
Marche,29,6,947,982,6226,992,8200,35,8200,0,8200,150966,256738,1562,2020-10-06
Sicilia,368,28,3052,3448,4237,322,8007,198,5174,2833,8007,374604,515580,6754,2020-10-06
PA Trento,22,0,641,663,5195,406,6264,40,3801,2463,6264,102600,239599,1047,2020-10-06
Friuli Venezia Giulia,24,5,879,908,3699,355,4962,51,4564,398,4962,190029,429243,3048,2020-10-06
Abruzzo,81,6,971,1058,3113,484,4655,48,3964,691,4655,134677,211128,1548,2020-10-06
Sardegna,125,19,2181,2325,1898,157,4380,63,2079,2301,4380,170991,202374,2319,2020-10-06
PA Bolzano,21,0,609,630,2757,292,3679,17,3679,0,3679,95487,184296,1002,2020-10-06
Umbria,45,5,698,748,1923,86,2757,62,1727,1030,2757,129274,216488,2622,2020-10-06
Calabria,38,1,546,585,1422,102,2109,23,1159,950,2109,210222,212328,1882,2020-10-06
Valle d'Aosta,5,1,87,93,1112,146,1351,5,1214,137,1351,20774,30131,151,2020-10-06
Basilicata,30,2,371,403,502,33,938,4,429,509,938,77079,77909,1024,2020-10-06
Molise,3,0,135,138,520,25,683,6,641,42,683,44119,45628,555,2020-10-06
Lombardia,305,41,9186,9532,81811,16973,108316,251,96143,12173,108316,1370079,2195207,8075,2020-10-05
Piemonte,273,15,3135,3423,28721,4168,36312,129,23944,12368,36312,447344,748061,3902,2020-10-05
Emilia-Romagna,213,11,4822,5046,26556,4487,36089,167,31396,4693,36089,686918,1219843,5008,2020-10-05
Veneto,182,20,4199,4401,22259,2194,28854,230,21556,7298,28854,773489,1980931,6986,2020-10-05
Lazio,764,48,7330,8142,8671,944,17757,248,8505,9252,17757,778041,937860,11402,2020-10-05
Toscana,112,32,3921,4065,10531,1168,15764,185,12297,3467,15764,523569,780067,5314,2020-10-05
Campania,463,43,7203,7709,6593,466,14768,431,13032,1736,14768,412392,632399,4867,2020-10-05
Liguria,180,24,1703,1907,10459,1610,13976,107,9913,4063,13976,174024,325764,1594,2020-10-05
Puglia,239,14,2703,2956,4762,599,8317,83,2449,5868,8317,302788,426286,1417,2020-10-05
Marche,28,6,920,954,6219,992,8165,22,8165,0,8165,150061,255176,712,2020-10-05
Sicilia,361,28,2969,3358,4130,321,7809,128,5062,2747,7809,370087,508826,2656,2020-10-05
PA Trento,17,0,633,650,5168,406,6224,49,3792,2432,6224,102111,238552,1204,2020-10-05
Friuli Venezia Giulia,23,5,840,868,3690,353,4911,21,4519,392,4911,188881,426195,1152,2020-10-05
Abruzzo,72,7,938,1017,3108,482,4607,30,3925,682,4607,133682,209580,1244,2020-10-05
Sardegna,116,19,2191,2326,1835,156,4317,88,2071,2246,4317,169073,200055,1622,2020-10-05
PA Bolzano,21,0,606,627,2743,292,3662,17,3662,0,3662,94956,183294,829,2020-10-05
Umbria,42,5,659,706,1903,86,2695,19,1713,982,2695,127714,213866,421,2020-10-05
Calabria,37,2,544,583,1402,101,2086,23,1159,927,2086,208340,210446,1360,2020-10-05
Valle d'Aosta,6,1,86,93,1107,146,1346,13,1209,137,1346,20687,29980,138,2020-10-05
Basilicata,30,2,371,403,498,33,934,14,429,505,934,76055,76885,138,2020-10-05
Molise,3,0,134,137,515,25,677,2,635,42,677,43575,45073,200,2020-10-05
Lombardia,296,39,9026,9361,81733,16971,108065,314,95940,12125,108065,1365206,2187132,14795,2020-10-04
Piemonte,216,13,3141,3370,28646,4167,36183,173,23920,12263,36183,446474,744159,5004,2020-10-04
Emilia-Romagna,212,11,4731,4954,26482,4486,35922,179,31313,4609,35922,684859,1214835,7058,2020-10-04
Veneto,178,20,4037,4235,22195,2194,28624,261,21502,7122,28624,771021,1973945,12817,2020-10-04
Lazio,737,48,7148,7933,8637,939,17509,244,8425,9084,17509,768942,926458,11737,2020-10-04
Toscana,99,26,3837,3962,10451,1166,15579,188,12196,3383,15579,519910,774753,8305,2020-10-04
Campania,450,41,6909,7400,6472,465,14337,412,12634,1703,14337,408931,627532,7250,2020-10-04
Liguria,167,23,1687,1877,10382,1610,13869,121,9843,4026,13869,173211,324170,2385,2020-10-04
Puglia,231,13,2653,2897,4739,598,8234,151,2440,5794,8234,301067,424869,3486,2020-10-04
Marche,24,6,911,941,6210,992,8143,59,8143,0,8143,149612,254464,1862,2020-10-04
Sicilia,329,24,2894,3247,4115,319,7681,85,4981,2700,7681,368405,506170,3498,2020-10-04
PA Trento,17,0,612,629,5140,406,6175,34,3786,2389,6175,101675,237348,1524,2020-10-04
Friuli Venezia Giulia,18,5,828,851,3686,353,4890,50,4503,387,4890,188339,425043,2368,2020-10-04
Abruzzo,70,6,919,995,3101,481,4577,37,3911,666,4577,132948,208336,2342,2020-10-04
Sardegna,114,20,2145,2279,1794,156,4229,111,2040,2189,4229,167736,198433,1783,2020-10-04
PA Bolzano,28,0,588,616,2737,292,3645,32,3645,0,3645,94635,182465,1106,2020-10-04
Umbria,42,4,649,695,1895,86,2676,72,1710,966,2676,127485,213445,2126,2020-10-04
Calabria,36,2,537,575,1387,101,2063,19,1159,904,2063,206980,209086,1796,2020-10-04
Valle d'Aosta,6,0,75,81,1106,146,1333,7,1197,136,1333,20588,29842,175,2020-10-04
Basilicata,15,2,373,390,497,33,920,14,426,494,920,75915,76747,800,2020-10-04
Molise,2,0,139,141,509,25,675,15,634,41,675,43376,44873,497,2020-10-04
Lombardia,293,42,8827,9162,81620,16969,107751,393,95707,12044,107751,1355640,2172337,18860,2020-10-03
Piemonte,214,12,3051,3277,28567,4166,36010,279,23810,12200,36010,442510,739155,6560,2020-10-03
Emilia-Romagna,200,11,4579,4790,26468,4485,35743,167,31230,4513,35743,680394,1207777,9867,2020-10-03
Veneto,174,21,3917,4112,22058,2193,28363,276,21482,6881,28363,765605,1961128,19891,2020-10-03
Lazio,711,47,6967,7725,8607,933,17265,261,8335,8930,17265,759903,914721,13349,2020-10-03
Toscana,99,24,3667,3790,10435,1166,15391,197,12084,3307,15391,514176,766448,8839,2020-10-03
Campania,434,40,6568,7042,6418,465,13925,401,12268,1657,13925,403167,620282,7498,2020-10-03
Liguria,167,21,1672,1860,10279,1609,13748,162,9779,3969,13748,171959,321785,4202,2020-10-03
Marche,23,6,867,896,6197,991,8084,59,8084,0,8084,148490,252602,2059,2020-10-03
Puglia,226,12,2523,2761,4724,598,8083,111,2412,5671,8083,299404,421383,3918,2020-10-03
Sicilia,322,20,2829,3171,4108,317,7596,182,4931,2665,7596,366048,502672,6638,2020-10-03
PA Trento,16,0,602,618,5117,406,6141,62,3776,2365,6141,101101,235824,2136,2020-10-03
Friuli Venezia Giulia,17,5,806,828,3659,353,4840,51,4458,382,4840,187109,422675,3900,2020-10-03
Abruzzo,66,6,890,962,3097,481,4540,42,3874,666,4540,131710,205994,2102,2020-10-03
Sardegna,113,21,2052,2186,1777,155,4118,62,2018,2100,4118,166214,196650,2069,2020-10-03
PA Bolzano,28,0,576,604,2717,292,3613,24,3613,0,3613,94145,181359,1368,2020-10-03
Umbria,41,5,588,634,1885,85,2604,42,1696,908,2604,126315,211319,2139,2020-10-03
Calabria,36,2,520,558,1386,100,2044,24,1159,885,2044,205184,207290,1902,2020-10-03
Valle d'Aosta,7,0,68,75,1105,146,1326,0,1190,136,1326,20476,29667,133,2020-10-03
Basilicata,15,2,370,387,486,33,906,49,425,481,906,75517,75947,1039,2020-10-03
Molise,3,0,125,128,507,25,660,0,620,40,660,42882,44376,463,2020-10-03
Lombardia,302,39,8825,9166,81228,16964,107358,307,95507,11851,107358,1343544,2153477,19842,2020-10-02
Piemonte,217,13,2830,3060,28505,4166,35731,219,23594,12137,35731,438901,732595,6549,2020-10-02
Emilia-Romagna,201,11,4465,4677,26416,4484,35577,163,31139,4438,35577,676766,1197910,13054,2020-10-02
Veneto,167,22,3838,4027,21871,2189,28087,191,21400,6687,28087,757440,1941237,18637,2020-10-02
Lazio,678,49,6820,7547,8529,928,17004,264,8258,8746,17004,749852,901372,11952,2020-10-02
Toscana,103,24,3504,3631,10398,1165,15194,223,11987,3207,15194,508398,757609,8873,2020-10-02
Liguria,161,23,1645,1829,10149,1608,13586,140,9687,3899,13586,169760,317583,3619,2020-10-02
Campania,439,39,6267,6745,6315,464,13524,392,11882,1642,13524,397526,612784,8482,2020-10-02
Marche,25,4,815,844,6191,990,8025,42,8025,0,8025,147169,250543,2119,2020-10-02
Puglia,223,13,2427,2663,4712,597,7972,72,2392,5580,7972,296760,417465,3949,2020-10-02
Sicilia,303,21,2724,3048,4052,314,7414,140,4821,2593,7414,362142,496034,5552,2020-10-02
PA Trento,16,0,571,587,5086,406,6079,39,3756,2323,6079,100451,233688,1731,2020-10-02
Friuli Venezia Giulia,18,2,773,793,3643,353,4789,66,4412,377,4789,185748,418775,4683,2020-10-02
Abruzzo,58,6,874,938,3079,481,4498,49,3845,653,4498,130591,203892,2408,2020-10-02
Sardegna,106,21,2027,2154,1747,155,4056,60,2003,2053,4056,164505,194581,1876,2020-10-02
PA Bolzano,28,0,559,587,2710,292,3589,21,3589,0,3589,93443,179991,1749,2020-10-02
Umbria,39,4,567,610,1867,85,2562,62,1686,876,2562,125136,209180,1925,2020-10-02
Calabria,34,1,503,538,1382,100,2020,18,1159,861,2020,203282,205388,1742,2020-10-02
Valle d'Aosta,8,0,69,77,1103,146,1326,11,1190,136,1326,20378,29534,154,2020-10-02
Basilicata,11,2,332,345,482,30,857,16,425,432,857,74088,74908,933,2020-10-02
Molise,5,0,126,131,505,24,660,4,620,40,660,42437,43913,472,2020-10-02
Lombardia,298,35,8834,9167,80924,16960,107051,324,95322,11729,107051,1331274,2133635,24691,2020-10-01
Piemonte,203,12,2692,2907,28440,4165,35512,110,23430,12082,35512,436125,726046,5073,2020-10-01
Emilia-Romagna,206,14,4434,4654,26276,4484,35414,103,31062,4352,35414,670418,1184856,8418,2020-10-01
Veneto,180,24,3761,3965,21748,2183,27896,445,21310,6586,27896,748630,1922600,18274,2020-10-01
Lazio,666,49,6628,7343,8474,923,16740,265,8177,8563,16740,740268,889420,11373,2020-10-01
Toscana,106,22,3340,3468,10338,1165,14971,144,11900,3071,14971,502556,748736,8253,2020-10-01
Liguria,152,21,1598,1771,10067,1608,13446,111,9624,3822,13446,167855,313964,3597,2020-10-01
Campania,421,38,5937,6396,6273,463,13132,390,11501,1631,13132,391374,604302,8311,2020-10-01
Marche,24,6,783,813,6180,990,7983,28,7983,0,7983,145986,248424,2137,2020-10-01
Puglia,217,14,2376,2607,4697,596,7900,114,2384,5516,7900,294298,413516,4152,2020-10-01
Sicilia,307,20,2609,2936,4026,312,7274,156,4726,2548,7274,358336,490482,6637,2020-10-01
PA Trento,15,0,579,594,5040,406,6040,48,3741,2299,6040,99722,231957,1883,2020-10-01
Friuli Venezia Giulia,20,4,735,759,3613,351,4723,57,4355,368,4723,183898,414092,4312,2020-10-01
Abruzzo,52,5,852,909,3059,481,4449,30,3799,650,4449,129248,201484,1992,2020-10-01
Sardegna,110,20,2006,2136,1705,155,3996,96,1995,2001,3996,162894,192705,2058,2020-10-01
PA Bolzano,28,0,554,582,2694,292,3568,29,3568,0,3568,92681,178242,1734,2020-10-01
Umbria,38,3,521,562,1853,85,2500,46,1681,819,2500,124094,207255,1931,2020-10-01
Calabria,32,2,503,537,1365,100,2002,17,1159,843,2002,201540,203646,1972,2020-10-01
Valle d'Aosta,7,0,62,69,1100,146,1315,1,1182,133,1315,20265,29380,254,2020-10-01
Basilicata,11,2,325,338,474,29,841,33,425,416,841,73155,73975,939,2020-10-01
Molise,4,0,130,134,498,24,656,1,616,40,656,41971,43441,245,2020-10-01
Lombardia,306,34,8720,9060,80712,16955,106727,201,95122,11605,106727,1315230,2108944,18804,2020-09-30
Piemonte,196,12,2636,2844,28394,4164,35402,170,23357,12045,35402,434855,720973,6604,2020-09-30
Emilia-Romagna,205,14,4434,4653,26174,4484,35311,101,31010,4301,35311,667137,1176438,9938,2020-09-30
Veneto,173,21,3538,3732,21541,2178,27451,155,21197,6254,27451,742361,1904326,12445,2020-09-30
Lazio,659,47,6442,7148,8409,918,16475,210,8086,8389,16475,732123,878047,10343,2020-09-30
Toscana,97,22,3283,3402,10261,1164,14827,120,11834,2993,14827,497351,740483,7703,2020-09-30
Liguria,143,22,1574,1739,9992,1604,13335,51,9556,3779,13335,166142,310367,3204,2020-09-30
Campania,414,39,5660,6113,6166,463,12742,287,11123,1619,12742,383899,595991,5584,2020-09-30
Marche,28,2,765,795,6170,990,7955,23,7955,0,7955,144940,246287,1615,2020-09-30
Puglia,218,11,2287,2516,4675,595,7786,99,2360,5426,7786,291519,409364,4577,2020-09-30
Sicilia,301,19,2546,2866,3941,311,7118,170,4641,2477,7118,354475,483845,6645,2020-09-30
PA Trento,14,0,553,567,5019,406,5992,37,3735,2257,5992,99092,230074,2420,2020-09-30
Friuli Venezia Giulia,19,6,693,718,3597,351,4666,28,4314,352,4666,182145,409780,3542,2020-09-30
Abruzzo,52,5,824,881,3057,481,4419,23,3778,641,4419,128012,199492,1778,2020-09-30
Sardegna,101,19,1941,2061,1685,154,3900,51,1958,1942,3900,161097,190647,3127,2020-09-30
PA Bolzano,28,0,533,561,2686,292,3539,17,3539,0,3539,91761,176508,1797,2020-09-30
Umbria,39,3,495,537,1832,85,2454,46,1668,786,2454,122979,205324,1940,2020-09-30
Calabria,33,2,520,555,1330,100,1985,18,1159,826,1985,199568,201674,1897,2020-09-30
Valle d'Aosta,6,0,69,75,1093,146,1314,6,1181,133,1314,20125,29126,200,2020-09-30
Basilicata,11,2,294,307,472,29,808,32,425,383,808,72216,73036,883,2020-09-30
Molise,4,0,129,133,498,24,655,6,615,40,655,41728,43196,518,2020-09-30
Lombardia,315,33,8751,9099,80476,16951,106526,203,95011,11515,106526,1303500,2090140,13791,2020-09-29
Piemonte,193,12,2527,2732,28337,4163,35232,100,23262,11970,35232,431233,714369,6660,2020-09-29
Emilia-Romagna,204,14,4492,4710,26016,4484,35210,97,30967,4243,35210,662825,1166500,10580,2020-09-29
Veneto,167,21,3483,3671,21448,2177,27296,140,21130,6166,27296,737524,1891881,11172,2020-09-29
Lazio,674,45,6330,7049,8303,913,16265,219,7999,8266,16265,724000,867704,9370,2020-09-29
Toscana,97,20,3251,3368,10175,1164,14707,56,11776,2931,14707,492445,732780,4731,2020-09-29
Liguria,143,22,1553,1718,9963,1603,13284,89,9554,3730,13284,164500,307163,2584,2020-09-29
Campania,417,35,5513,5965,6027,463,12455,286,10844,1611,12455,378937,590407,6335,2020-09-29
Marche,26,3,752,781,6161,990,7932,26,7932,0,7932,144152,244672,1540,2020-09-29
Puglia,210,14,2209,2433,4662,592,7687,76,2344,5343,7687,288503,404787,4222,2020-09-29
Sicilia,293,16,2478,2787,3851,310,6948,163,4541,2407,6948,350664,477200,6115,2020-09-29
PA Trento,11,0,576,587,4962,406,5955,13,3724,2231,5955,98077,227654,1110,2020-09-29
Friuli Venezia Giulia,21,6,697,724,3563,351,4638,28,4286,352,4638,180925,406238,2976,2020-09-29
Abruzzo,52,4,809,865,3051,481,4397,14,3764,633,4397,126999,197714,1088,2020-09-29
Sardegna,102,19,1910,2031,1667,151,3849,82,1944,1905,3849,158909,187520,1686,2020-09-29
PA Bolzano,28,0,538,566,2664,292,3522,8,3522,0,3522,91062,174711,984,2020-09-29
Umbria,39,3,478,520,1803,85,2408,23,1659,749,2408,121933,203384,2633,2020-09-29
Calabria,34,2,508,544,1323,100,1967,10,1159,808,1967,197671,199777,1387,2020-09-29
Valle d'Aosta,4,0,65,69,1093,146,1308,8,1176,132,1308,19979,28926,161,2020-09-29
Basilicata,13,1,262,276,471,29,776,6,425,351,776,71333,72153,941,2020-09-29
Molise,5,1,129,135,490,24,649,1,609,40,649,41224,42678,119,2020-09-29
Lombardia,306,31,8997,9334,80041,16948,106323,119,94891,11432,106323,1293542,2076349,7933,2020-09-28
Piemonte,180,12,2492,2684,28287,4161,35132,94,23202,11930,35132,428535,707709,3086,2020-09-28
Emilia-Romagna,201,15,4469,4685,25946,4482,35113,85,30912,4201,35113,658254,1155920,5095,2020-09-28
Veneto,155,21,3445,3621,21359,2176,27156,183,21124,6032,27156,733252,1880709,4863,2020-09-28
Lazio,640,41,6240,6921,8215,910,16046,211,7929,8117,16046,716730,858334,7906,2020-09-28
Toscana,93,22,3278,3393,10098,1160,14651,85,11759,2892,14651,489436,728049,4396,2020-09-28
Liguria,145,24,1601,1770,9825,1600,13195,109,9545,3650,13195,163180,304579,1975,2020-09-28
Campania,412,30,5298,5740,5968,461,12169,295,10572,1597,12169,374216,584072,5592,2020-09-28
Marche,25,4,733,762,6154,990,7906,5,7906,0,7906,143293,243132,382,2020-09-28
Puglia,214,15,2190,2419,4600,592,7611,90,2337,5274,7611,285597,400565,1456,2020-09-28
Sicilia,294,15,2434,2743,3733,309,6785,102,4458,2327,6785,346506,471085,2414,2020-09-28
PA Trento,11,0,604,615,4921,406,5942,20,3721,2221,5942,97622,226544,208,2020-09-28
Friuli Venezia Giulia,18,6,697,721,3538,351,4610,2,4261,349,4610,179938,403262,700,2020-09-28
Abruzzo,54,4,799,857,3048,479,4384,4,3763,621,4384,126392,196626,189,2020-09-28
Sardegna,109,17,1843,1969,1648,150,3767,37,1932,1835,3767,157411,185834,1335,2020-09-28
PA Bolzano,26,0,534,560,2662,292,3514,25,3514,0,3514,90576,173727,1000,2020-09-28
Umbria,38,3,467,508,1792,85,2385,11,1655,730,2385,120628,200751,601,2020-09-28
Calabria,36,2,508,546,1311,100,1957,5,1159,798,1957,196284,198390,975,2020-09-28
Valle d'Aosta,3,0,62,65,1089,146,1300,1,1169,131,1300,19888,28765,103,2020-09-28
Basilicata,13,1,259,273,468,29,770,7,425,345,770,70392,71212,186,2020-09-28
Molise,4,1,132,137,487,24,648,4,608,40,648,41105,42559,714,2020-09-28
Lombardia,302,31,8904,9237,80021,16946,106204,216,94827,11377,106204,1288690,2068416,16567,2020-09-27
Piemonte,166,10,2457,2633,28244,4161,35038,132,23230,11808,35038,426733,704623,4274,2020-09-27
Emilia-Romagna,201,15,4466,4682,25864,4482,35028,96,30863,4165,35028,655624,1150825,9295,2020-09-27
Veneto,148,21,3321,3490,21307,2176,26973,159,21088,5885,26973,731147,1875846,9683,2020-09-27
Lazio,610,38,6161,6809,8119,907,15835,181,7866,7969,15835,710057,850428,8851,2020-09-27
Toscana,82,23,3302,3407,10002,1157,14566,101,11728,2838,14566,486576,723653,7541,2020-09-27
Liguria,137,22,1579,1738,9749,1599,13086,45,9481,3605,13086,162174,302604,1908,2020-09-27
Campania,400,30,5160,5590,5824,460,11874,245,10290,1584,11874,371640,578480,5539,2020-09-27
Marche,20,2,738,760,6151,990,7901,24,7901,0,7901,143076,242750,1599,2020-09-27
Puglia,210,12,2182,2404,4527,590,7521,76,2331,5190,7521,283877,399109,2683,2020-09-27
Sicilia,268,14,2377,2659,3716,308,6683,107,4398,2285,6683,345016,468671,4202,2020-09-27
PA Trento,12,0,586,598,4919,405,5922,42,3713,2209,5922,97509,226336,1542,2020-09-27
Friuli Venezia Giulia,18,6,696,720,3537,351,4608,28,4259,349,4608,179595,402562,2344,2020-09-27
Abruzzo,50,5,807,862,3040,478,4380,47,3759,621,4380,126265,196437,2188,2020-09-27
Sardegna,110,18,1836,1964,1617,149,3730,139,1926,1804,3730,156237,184499,2485,2020-09-27
PA Bolzano,26,0,521,547,2650,292,3489,22,3489,0,3489,90172,172727,2242,2020-09-27
Umbria,33,3,465,501,1788,85,2374,21,1651,723,2374,120300,200150,2065,2020-09-27
Calabria,35,2,507,544,1308,100,1952,31,1159,793,1952,195309,197415,1870,2020-09-27
Valle d'Aosta,3,0,63,66,1087,146,1299,0,1168,131,1299,19826,28662,178,2020-09-27
Basilicata,13,1,252,266,468,29,763,47,425,338,763,70206,71026,519,2020-09-27
Molise,2,1,138,141,479,24,644,7,604,40,644,40403,41845,139,2020-09-27
Lombardia,312,30,8745,9087,79960,16941,105988,256,94691,11297,105988,1278033,2051849,19137,2020-09-26
Emilia-Romagna,200,17,4500,4717,25734,4481,34932,99,30821,4111,34932,651887,1141530,10107,2020-09-26
Piemonte,164,10,2389,2563,28183,4160,34906,107,23264,11642,34906,423689,700349,5417,2020-09-26
Veneto,147,21,3264,3432,21208,2174,26814,216,21048,5766,26814,727456,1866163,16415,2020-09-26
Lazio,591,35,6041,6667,8081,906,15654,219,7797,7857,15654,703206,841577,9791,2020-09-26
Toscana,84,24,3219,3327,9981,1157,14465,110,11683,2782,14465,481455,716112,6953,2020-09-26
Liguria,136,19,1582,1737,9705,1599,13041,97,9448,3593,13041,161282,300696,3016,2020-09-26
Campania,325,29,5127,5481,5688,460,11629,274,10058,1571,11629,367291,572941,6104,2020-09-26
Marche,23,2,716,741,6146,990,7877,26,7877,0,7877,142155,241151,1578,2020-09-26
Puglia,203,11,2123,2337,4518,590,7445,51,2316,5129,7445,282195,396426,3514,2020-09-26
Sicilia,255,13,2315,2583,3687,306,6576,110,4341,2235,6576,342008,464469,5558,2020-09-26
PA Trento,14,0,549,563,4912,405,5880,51,3711,2169,5880,96818,224794,2116,2020-09-26
Friuli Venezia Giulia,18,6,694,718,3512,350,4580,54,4240,340,4580,178499,400218,4475,2020-09-26
Abruzzo,54,5,762,821,3035,477,4333,16,3717,616,4333,124985,194249,1696,2020-09-26
Sardegna,109,18,1709,1836,1607,148,3591,63,1891,1700,3591,154219,182014,1904,2020-09-26
PA Bolzano,26,0,514,540,2635,292,3467,29,3467,0,3467,89488,170485,1479,2020-09-26
Umbria,34,3,463,500,1768,85,2353,35,1646,707,2353,118947,198085,2008,2020-09-26
Calabria,30,2,481,513,1308,100,1921,15,1159,762,1921,193439,195545,1764,2020-09-26
Valle d'Aosta,3,0,63,66,1087,146,1299,11,1168,131,1299,19697,28484,152,2020-09-26
Basilicata,14,1,214,229,459,28,716,25,425,291,716,69687,70507,830,2020-09-26
Molise,4,1,130,135,479,23,637,5,597,40,637,40259,41706,373,2020-09-26
Lombardia,300,30,8841,9171,79624,16937,105732,277,94550,11182,105732,1265754,2032712,20431,2020-09-25
Emilia-Romagna,189,18,4444,4651,25701,4481,34833,122,30776,4057,34833,647139,1131423,10040,2020-09-25
Piemonte,163,9,2330,2502,28138,4159,34799,120,23289,11510,34799,420303,694932,6284,2020-09-25
